"Name","order","gene","median_FC","sample","mouse_index"
"Cd47-1",1,"Cd47",2.51165012443989,"A126-thymus","A126"
"Trp53-26",2,"Trp53",57.0548397401768,"A126-thymus","A126"
"Cd19-7",3,"Cd19",1.03823176329355,"A126-thymus","A126"
"Kpnb1-22",4,"Kpnb1",0.319122809193634,"A126-thymus","A126"
"Polr2a-2",5,"Polr2a",0.511738464311464,"A126-thymus","A126"
"Pten-6",6,"Pten",9.63241787829833,"A126-thymus","A126"
"Cd45-5",7,"Cd45",1.10355239786856,"A126-thymus","A126"
"Trp53-13",8,"Trp53",234.686390925072,"A126-thymus","A126"
"Cd19-12",9,"Cd19",1.13775,"A126-thymus","A126"
"Kpnb1-4",10,"Kpnb1",0.472370895414437,"A126-thymus","A126"
"Polr2a-9",11,"Polr2a",0.306496850429905,"A126-thymus","A126"
"Pten-16",12,"Pten",5.09478168264111,"A126-thymus","A126"
"Cd45-7",13,"Cd45",0.953875179981133,"A126-thymus","A126"
"Trp53-7",14,"Trp53",2.17944508290921,"A126-thymus","A126"
"Cd19-11",15,"Cd19",0.754543638905532,"A126-thymus","A126"
"Kpnb1-1",16,"Kpnb1",0.319122809193634,"A126-thymus","A126"
"Polr2a-13",17,"Polr2a",0.556216451472508,"A126-thymus","A126"
"Pten-11",18,"Pten",77.2115117891817,"A126-thymus","A126"
"Cd45-8",19,"Cd45",1.01856520742608,"A126-thymus","A126"
"Trp53-33",20,"Trp53",35.0498076923077,"A126-thymus","A126"
"Cd19-15",21,"Cd19",0.995198603230031,"A126-thymus","A126"
"Kpnb1-7",22,"Kpnb1",0.213085177096192,"A126-thymus","A126"
"Polr2a-20",23,"Polr2a",0.334450963956412,"A126-thymus","A126"
"Pten-10",24,"Pten",22.9058597502402,"A126-thymus","A126"
"Cd45-9",25,"Cd45",1.42716535433071,"A126-thymus","A126"
"Trp53-4",26,"Trp53",9.21514773200166,"A126-thymus","A126"
"Cd19-10",27,"Cd19",1.05648720211827,"A126-thymus","A126"
"Kpnb1-8",28,"Kpnb1",0.432075143503218,"A126-thymus","A126"
"Polr2a-26",29,"Polr2a",0.302270011947431,"A126-thymus","A126"
"Pten-19",30,"Pten",3.90135079819894,"A126-thymus","A126"
"Cd45-11",31,"Cd45",1.24699190549114,"A126-thymus","A126"
"Trp53-22",32,"Trp53",14.5410740203193,"A126-thymus","A126"
"Cd19-17",33,"Cd19",0.837595024187975,"A126-thymus","A126"
"Kpnb1-10",34,"Kpnb1",0.68394528437725,"A126-thymus","A126"
"Polr2a-3",35,"Polr2a",0.73209549071618,"A126-thymus","A126"
"Pten-35",36,"Pten",6.08286923591,"A126-thymus","A126"
"Cd45-13",37,"Cd45",0.96,"A126-thymus","A126"
"Trp53-10",38,"Trp53",2.80876232201533,"A126-thymus","A126"
"Cd19-32",39,"Cd19",0.924584808058808,"A126-thymus","A126"
"Kpnb1-12",40,"Kpnb1",0.394021073266356,"A126-thymus","A126"
"Polr2a-22",41,"Polr2a",1.26788908765653,"A126-thymus","A126"
"Pten-30",42,"Pten",4.83831417624521,"A126-thymus","A126"
"Cd45-20",43,"Cd45",7.4297520661157,"A126-thymus","A126"
"Trp53-14",44,"Trp53",2.44227886056971,"A126-thymus","A126"
"Cd19-21",45,"Cd19",0.939115450890293,"A126-thymus","A126"
"Kpnb1-16",46,"Kpnb1",0.470419299253303,"A126-thymus","A126"
"Polr2a-23",47,"Polr2a",0.703190013869626,"A126-thymus","A126"
"Pten-33",48,"Pten",3.10162002945508,"A126-thymus","A126"
"Cd45-14",49,"Cd45",1.28877769835597,"A126-thymus","A126"
"Trp53-35",50,"Trp53",1.24571917808219,"A126-thymus","A126"
"Cd19-30",51,"Cd19",0.998080614203455,"A126-thymus","A126"
"Kpnb1-14",52,"Kpnb1",0.705390334572491,"A126-thymus","A126"
"Polr2a-28",53,"Polr2a",0.555712270803949,"A126-thymus","A126"
"Pten-34",54,"Pten",7.38920454545455,"A126-thymus","A126"
"Cd45-29",55,"Cd45",2.76814988290398,"A126-thymus","A126"
"Trp53-2",56,"Trp53",0.947791164658635,"A126-thymus","A126"
"Cd19-27",57,"Cd19",1.02285092491839,"A126-thymus","A126"
"Kpnb1-17",58,"Kpnb1",0.30607476635514,"A126-thymus","A126"
"Polr2a-38",59,"Polr2a",0.375595805529075,"A126-thymus","A126"
"Pten-28",60,"Pten",7.72373540856031,"A126-thymus","A126"
"Cd45-15",61,"Cd45",1.61492452292794,"A126-thymus","A126"
"Cd47-1",1,"Cd47",1.75163590273876,"A301-thymus","A301"
"Trp53-26",2,"Trp53",3.71099989351507,"A301-thymus","A301"
"Cd19-7",3,"Cd19",0.998884259586187,"A301-thymus","A301"
"Kpnb1-22",4,"Kpnb1",0.1894047456618,"A301-thymus","A301"
"Polr2a-2",5,"Polr2a",0.380745313626532,"A301-thymus","A301"
"Pten-6",6,"Pten",15.4595584275714,"A301-thymus","A301"
"Cd45-5",7,"Cd45",2.69134103019538,"A301-thymus","A301"
"Trp53-13",8,"Trp53",1.73438588344555,"A301-thymus","A301"
"Cd19-12",9,"Cd19",1.47575,"A301-thymus","A301"
"Kpnb1-4",10,"Kpnb1",0.295530160567048,"A301-thymus","A301"
"Polr2a-9",11,"Polr2a",0.335187824727574,"A301-thymus","A301"
"Pten-16",12,"Pten",7.57553628480146,"A301-thymus","A301"
"Cd45-7",13,"Cd45",2.00844049451368,"A301-thymus","A301"
"Trp53-7",14,"Trp53",1.96223936956165,"A301-thymus","A301"
"Cd19-11",15,"Cd19",0.514080287597364,"A301-thymus","A301"
"Kpnb1-1",16,"Kpnb1",0.1894047456618,"A301-thymus","A301"
"Polr2a-13",17,"Polr2a",0.843899608298274,"A301-thymus","A301"
"Pten-11",18,"Pten",14.8590499306519,"A301-thymus","A301"
"Cd45-8",19,"Cd45",2.83658033463213,"A301-thymus","A301"
"Trp53-33",20,"Trp53",3.48865384615385,"A301-thymus","A301"
"Cd19-15",21,"Cd19",1.3330423395897,"A301-thymus","A301"
"Kpnb1-7",22,"Kpnb1",0.119646757193049,"A301-thymus","A301"
"Polr2a-20",23,"Polr2a",0.75859178541492,"A301-thymus","A301"
"Pten-10",24,"Pten",7.23054755043228,"A301-thymus","A301"
"Cd45-9",25,"Cd45",1.89763779527559,"A301-thymus","A301"
"Trp53-4",26,"Trp53",1.9284228048273,"A301-thymus","A301"
"Cd19-10",27,"Cd19",0.764342453662842,"A301-thymus","A301"
"Kpnb1-8",28,"Kpnb1",0.578187510871456,"A301-thymus","A301"
"Polr2a-26",29,"Polr2a",0.158900836320191,"A301-thymus","A301"
"Pten-19",30,"Pten",7.6479738027016,"A301-thymus","A301"
"Cd45-11",31,"Cd45",3.1450448479545,"A301-thymus","A301"
"Trp53-22",32,"Trp53",5.3033381712627,"A301-thymus","A301"
"Cd19-17",33,"Cd19",0.88217000691085,"A301-thymus","A301"
"Kpnb1-10",34,"Kpnb1",0.41324694024478,"A301-thymus","A301"
"Polr2a-3",35,"Polr2a",0.507515473032714,"A301-thymus","A301"
"Pten-35",36,"Pten",5.15927823568724,"A301-thymus","A301"
"Cd45-13",37,"Cd45",2.26753246753247,"A301-thymus","A301"
"Trp53-10",38,"Trp53",2.89682365826944,"A301-thymus","A301"
"Cd19-32",39,"Cd19",1.04219983664579,"A301-thymus","A301"
"Kpnb1-12",40,"Kpnb1",0.273462386669934,"A301-thymus","A301"
"Polr2a-22",41,"Polr2a",0.992844364937388,"A301-thymus","A301"
"Pten-30",42,"Pten",10.2973180076628,"A301-thymus","A301"
"Cd45-20",43,"Cd45",2.02892561983471,"A301-thymus","A301"
"Trp53-14",44,"Trp53",4.47751124437781,"A301-thymus","A301"
"Cd19-21",45,"Cd19",0.565192418150488,"A301-thymus","A301"
"Kpnb1-16",46,"Kpnb1",1.09075244112579,"A301-thymus","A301"
"Polr2a-23",47,"Polr2a",0.395284327323162,"A301-thymus","A301"
"Pten-33",48,"Pten",4.44918998527246,"A301-thymus","A301"
"Cd45-14",49,"Cd45",2.03716940671909,"A301-thymus","A301"
"Trp53-35",50,"Trp53",0.696061643835616,"A301-thymus","A301"
"Cd19-30",51,"Cd19",1.15163147792706,"A301-thymus","A301"
"Kpnb1-14",52,"Kpnb1",0.158921933085502,"A301-thymus","A301"
"Polr2a-28",53,"Polr2a",0.186177715091678,"A301-thymus","A301"
"Pten-34",54,"Pten",5.79829545454545,"A301-thymus","A301"
"Cd45-29",55,"Cd45",4.50702576112412,"A301-thymus","A301"
"Trp53-2",56,"Trp53",2.01606425702811,"A301-thymus","A301"
"Cd19-27",57,"Cd19",1.29923830250272,"A301-thymus","A301"
"Kpnb1-17",58,"Kpnb1",0.184579439252336,"A301-thymus","A301"
"Polr2a-38",59,"Polr2a",0.181124880838894,"A301-thymus","A301"
"Pten-28",60,"Pten",11.5622568093385,"A301-thymus","A301"
"Cd45-15",61,"Cd45",0.974081458273996,"A301-thymus","A301"
"Cd47-1",1,"Cd47",1.19120443740095,"A310-thymus","A310"
"Trp53-26",2,"Trp53",12.2591050988554,"A310-thymus","A310"
"Cd19-7",3,"Cd19",1.24882138684626,"A310-thymus","A310"
"Kpnb1-22",4,"Kpnb1",0.552998171080738,"A310-thymus","A310"
"Polr2a-2",5,"Polr2a",0.362710458953744,"A310-thymus","A310"
"Pten-6",6,"Pten",11.2511958706309,"A310-thymus","A310"
"Cd45-5",7,"Cd45",4.93766290371791,"A310-thymus","A310"
"Trp53-13",8,"Trp53",2.4247246667018,"A310-thymus","A310"
"Cd19-12",9,"Cd19",1.05124760076775,"A310-thymus","A310"
"Kpnb1-4",10,"Kpnb1",0.229173808707576,"A310-thymus","A310"
"Polr2a-9",11,"Polr2a",0.169152674736431,"A310-thymus","A310"
"Pten-16",12,"Pten",19.7298821816858,"A310-thymus","A310"
"Cd45-7",13,"Cd45",2.79581370524215,"A310-thymus","A310"
"Trp53-7",14,"Trp53",5.2128764278297,"A310-thymus","A310"
"Cd19-11",15,"Cd19",1.66586477230917,"A310-thymus","A310"
"Kpnb1-1",16,"Kpnb1",0.552998171080738,"A310-thymus","A310"
"Polr2a-13",17,"Polr2a",0.389528382556074,"A310-thymus","A310"
"Pten-11",18,"Pten",24.0264733690514,"A310-thymus","A310"
"Cd45-8",19,"Cd45",9.842194092827,"A310-thymus","A310"
"Trp53-33",20,"Trp53",2.77808352217546,"A310-thymus","A310"
"Cd19-15",21,"Cd19",1.81517398745009,"A310-thymus","A310"
"Kpnb1-7",22,"Kpnb1",0.0861697544161999,"A310-thymus","A310"
"Polr2a-20",23,"Polr2a",0.250397456279809,"A310-thymus","A310"
"Pten-10",24,"Pten",14.9000853970965,"A310-thymus","A310"
"Cd45-9",25,"Cd45",14.3264484378495,"A310-thymus","A310"
"Trp53-4",26,"Trp53",6.55771933346718,"A310-thymus","A310"
"Cd19-10",27,"Cd19",0.715221274062314,"A310-thymus","A310"
"Kpnb1-8",28,"Kpnb1",0.29875922471819,"A310-thymus","A310"
"Polr2a-26",29,"Polr2a",0.23423898707465,"A310-thymus","A310"
"Pten-19",30,"Pten",8.03835616438356,"A310-thymus","A310"
"Cd45-11",31,"Cd45",8.93364146583031,"A310-thymus","A310"
"Trp53-22",32,"Trp53",5.27031019202363,"A310-thymus","A310"
"Cd19-17",33,"Cd19",3.40095918921365,"A310-thymus","A310"
"Kpnb1-10",34,"Kpnb1",0.453686200378072,"A310-thymus","A310"
"Polr2a-3",35,"Polr2a",1.73788721207307,"A310-thymus","A310"
"Pten-35",36,"Pten",27.4098898523553,"A310-thymus","A310"
"Cd45-13",37,"Cd45",8.36290784201488,"A310-thymus","A310"
"Trp53-10",38,"Trp53",4.94842225319985,"A310-thymus","A310"
"Cd19-32",39,"Cd19",0.603906387471406,"A310-thymus","A310"
"Kpnb1-12",40,"Kpnb1",0.381661891117479,"A310-thymus","A310"
"Polr2a-22",41,"Polr2a",0.677880994225458,"A310-thymus","A310"
"Pten-30",42,"Pten",48.619624217119,"A310-thymus","A310"
"Cd45-20",43,"Cd45",9.82021078735276,"A310-thymus","A310"
"Trp53-14",44,"Trp53",0.938012762078396,"A310-thymus","A310"
"Cd19-21",45,"Cd19",0.812209688122097,"A310-thymus","A310"
"Kpnb1-16",46,"Kpnb1",0.203562340966921,"A310-thymus","A310"
"Polr2a-23",47,"Polr2a",0.586624951114587,"A310-thymus","A310"
"Pten-33",48,"Pten",17.5491616642517,"A310-thymus","A310"
"Cd45-14",49,"Cd45",0.624089868941128,"A310-thymus","A310"
"Trp53-35",50,"Trp53",0.775849056603774,"A310-thymus","A310"
"Cd19-30",51,"Cd19",0.946908182386009,"A310-thymus","A310"
"Kpnb1-14",52,"Kpnb1",0.0742486741308191,"A310-thymus","A310"
"Polr2a-28",53,"Polr2a",0.518582541054451,"A310-thymus","A310"
"Pten-34",54,"Pten",53.0430733410943,"A310-thymus","A310"
"Cd45-29",55,"Cd45",1.36078299021262,"A310-thymus","A310"
"Trp53-2",56,"Trp53",1.04364089775561,"A310-thymus","A310"
"Cd19-27",57,"Cd19",1.08651911468813,"A310-thymus","A310"
"Kpnb1-17",58,"Kpnb1",0.176795580110497,"A310-thymus","A310"
"Polr2a-38",59,"Polr2a",0.456189151599444,"A310-thymus","A310"
"Pten-28",60,"Pten",64.469474680549,"A310-thymus","A310"
"Cd45-15",61,"Cd45",1.12715340442986,"A310-thymus","A310"
"Cd47-1",1,"Cd47",1.25267131857425,"39-thymus","39"
"Trp53-26",2,"Trp53",2.99946757533809,"39-thymus","39"
"Cd19-7",3,"Cd19",0.828783278017089,"39-thymus","39"
"Kpnb1-22",4,"Kpnb1",0.259436127063668,"39-thymus","39"
"Polr2a-2",5,"Polr2a",0.245088320115357,"39-thymus","39"
"Pten-6",6,"Pten",705.940441572429,"39-thymus","39"
"Cd45-5",7,"Cd45",1.01896092362345,"39-thymus","39"
"Trp53-13",8,"Trp53",1.85180271319115,"39-thymus","39"
"Cd19-12",9,"Cd19",1.036,"39-thymus","39"
"Kpnb1-4",10,"Kpnb1",0.375813684362795,"39-thymus","39"
"Polr2a-9",11,"Polr2a",0.26704676077061,"39-thymus","39"
"Pten-16",12,"Pten",8.28236726000304,"39-thymus","39"
"Cd45-7",13,"Cd45",1.39655429223971,"39-thymus","39"
"Trp53-7",14,"Trp53",2.21786241996388,"39-thymus","39"
"Cd19-11",15,"Cd19",1.15078889554624,"39-thymus","39"
"Kpnb1-1",16,"Kpnb1",0.259436127063668,"39-thymus","39"
"Polr2a-13",17,"Polr2a",0.47221819236907,"39-thymus","39"
"Pten-11",18,"Pten",8.54854368932039,"39-thymus","39"
"Cd45-8",19,"Cd45",2.31537932615173,"39-thymus","39"
"Trp53-33",20,"Trp53",2.25346153846154,"39-thymus","39"
"Cd19-15",21,"Cd19",0.960497599301615,"39-thymus","39"
"Kpnb1-7",22,"Kpnb1",0.361789003893267,"39-thymus","39"
"Polr2a-20",23,"Polr2a",0.307627829002515,"39-thymus","39"
"Pten-10",24,"Pten",8.26705091258405,"39-thymus","39"
"Cd45-9",25,"Cd45",1.54429133858268,"39-thymus","39"
"Trp53-4",26,"Trp53",3.15938410320433,"39-thymus","39"
"Cd19-10",27,"Cd19",0.814651368049426,"39-thymus","39"
"Kpnb1-8",28,"Kpnb1",0.469646895112193,"39-thymus","39"
"Polr2a-26",29,"Polr2a",0.514934289127838,"39-thymus","39"
"Pten-19",30,"Pten",8.70528039295947,"39-thymus","39"
"Cd45-11",31,"Cd45",1.55808357033472,"39-thymus","39"
"Trp53-22",32,"Trp53",2.31814223512337,"39-thymus","39"
"Cd19-17",33,"Cd19",0.886316516931583,"39-thymus","39"
"Kpnb1-10",34,"Kpnb1",0.332613390928726,"39-thymus","39"
"Polr2a-3",35,"Polr2a",0.2210433244916,"39-thymus","39"
"Pten-35",36,"Pten",949.546446870127,"39-thymus","39"
"Cd45-13",37,"Cd45",1.30753246753247,"39-thymus","39"
"Trp53-10",38,"Trp53",3.67228915662651,"39-thymus","39"
"Cd19-32",39,"Cd19",0.852708957255649,"39-thymus","39"
"Kpnb1-12",40,"Kpnb1",0.673364371477579,"39-thymus","39"
"Polr2a-22",41,"Polr2a",0.725849731663685,"39-thymus","39"
"Pten-30",42,"Pten",9.71187739463602,"39-thymus","39"
"Cd45-20",43,"Cd45",1.26652892561983,"39-thymus","39"
"Trp53-14",44,"Trp53",2235.95802098951,"39-thymus","39"
"Cd19-21",45,"Cd19",1.30959218839747,"39-thymus","39"
"Kpnb1-16",46,"Kpnb1",0.749569213095922,"39-thymus","39"
"Polr2a-23",47,"Polr2a",0.330790568654646,"39-thymus","39"
"Pten-33",48,"Pten",9.01325478645066,"39-thymus","39"
"Cd45-14",49,"Cd45",0.88348820586133,"39-thymus","39"
"Trp53-35",50,"Trp53",4.70034246575343,"39-thymus","39"
"Cd19-30",51,"Cd19",1.52399232245681,"39-thymus","39"
"Kpnb1-14",52,"Kpnb1",0.273234200743494,"39-thymus","39"
"Polr2a-28",53,"Polr2a",0.502115655853315,"39-thymus","39"
"Pten-34",54,"Pten",10.9772727272727,"39-thymus","39"
"Cd45-29",55,"Cd45",3.14754098360656,"39-thymus","39"
"Trp53-2",56,"Trp53",0.364123159303882,"39-thymus","39"
"Cd19-27",57,"Cd19",1.89336235038085,"39-thymus","39"
"Kpnb1-17",58,"Kpnb1",0.14018691588785,"39-thymus","39"
"Polr2a-38",59,"Polr2a",0.202097235462345,"39-thymus","39"
"Pten-28",60,"Pten",17.1828793774319,"39-thymus","39"
"Cd45-15",61,"Cd45",0.892053545998291,"39-thymus","39"
